"송신 서버 번호","데이터 번호","패킷 사이즈","데이터 사이즈","패킷 구분 명","패킷 명","패킷 길이","패킷 단위","패킷 범주","설명","정렬 순서","공개 구분 명"
"79","1","185","167","테일","조도","6","lux","0~120000","1일 평균 조도         표현범위 →    0 ? 120000 (관측값)","120","개방"
"79","1","185","167","테일","자외선","7","UV","0~160","1일 평균 자외선         표현범위 →    0 ? 160 (관측값 × 10)","130","개방"
"88","1","31","15","테일","보행자감지이벤트수","3","","","보행자감지이벤트수","80","개방"
"93","1","36","15","헤더","모델명","7","","","모델명","10","개방"
"93","1","36","15","헤더","시리얼","14","","","시리얼","20","개방"
"93","1","36","15","테일","유동인구","5","명","0 ~ 65535","유동인구","30","개방"
"96","1","65","35","헤더","모델명","15","","","PARKING-SENSOR","10","개방"
"96","1","65","35","헤더","시리얼","15","","","111467200000","20","개방"
"96","1","65","35","테일","데이터요청일시","20","","","YYYYMMDDHH24","30","개방"
"96","1","65","35","테일","총주차면수","5","면","","주차총건수","40","개방"
"96","1","65","35","테일","주차면수","5","면","","주차건수","50","개방"
"96","1","65","35","테일","비주차면수","5","면","","비주차건수","60","개방"
"97","1","90","60","헤더","모델명","15","","","AirGuard-K","10","개방"
"97","1","90","60","헤더","시리얼","15","","","V01G1613537","20","개방"
"97","1","90","60","테일","데이터관측일시","20","","","YYYYMMDDHH24MI","30","개방"
"97","1","90","60","테일","온도","5","℃","","값 / 10 - 100 = ℃","40","개방"
"97","1","90","60","테일","습도","5","%","","","50","개방"
"97","1","90","60","테일","미세먼지","5","㎍/㎥","","","60","개방"
"97","1","90","60","테일","소음","5","㏈","","","70","개방"
"97","1","90","60","테일","이산화탄소","5","ppm","","","80","개방"
"2","1","36","8","테일","신호등이 점멸신호일때 건너는 사람 감지회수 Counter","2","회","0 ~ 99","신호등이 점멸신호일때 건너는 사람 감지회수(5분동안총합)","50","개방"
"13","1","52","34","테일","교차로3평균진입속도","3","km/h","000 ~ 999","교차로 3로 정해진 곳으로 진입 하는 평균 진입 속도","100","개방"
"13","2","42","23","테일","미세먼지임계값","3","ug/m3","000~999","미세먼지 임계치 미세먼지 임계치에 도달시 스프레이 분사","90","개방"
"13","2","42","23","테일","분사주기","2","","00 ~ 99","스프레이 분사 주기","100","개방"
"13","2","42","23","테일","데이터전송주기","2","","00 ~ 99","데이터 전송 주기","110","개방"
"14","1","37","29","헤더","모델명","4","","","모델명","1","개방"
"14","1","37","29","헤더","시리얼","4","","","시리얼고유기기번호","2","개방"
"14","1","37","29","테일","센싱시간","25","시","","타임스탬프값","3","개방"
"106","1","19","8","테일","주차유무","2","","0 ~ 1","주차유무","30","개방"
"106","1","19","8","테일","허용여부(0 - 불용 1 - 허용)","2","","0 ~ 1","허용여부","40","개방"
"106","1","19","8","테일","차량번호","4","","4","차량번호 뒷자리","50","비공개"
"79","1","185","167","테일","소음","2","dB ","35~85","1일 평균 소음         표현범위 →    35 ? 85 (관측값)","140","개방"
"79","1","185","167","테일","진동(x)","7","g","0~1600","1일 평균 진동(x)         표현범위 →    0 ? 1600 (관측값 × 100)","150","개방"
"79","1","185","167","테일","진동(y)","7","g","0~1600","1일 평균 진동(y)         표현범위 →    0 ? 1600 (관측값 × 100)","160","개방"
"79","1","185","167","테일","진동(z)","7","g","0~1600","1일 평균 진동(z)         표현범위 →    0 ? 1600 (관측값 × 100)","170","개방"
"79","1","185","167","테일","진동(x) 최대","7","g","0~1600","1일 최대 진동(x)         표현범위 →    0 ? 1600 (관측값 × 100)","180","개방"
"79","1","185","167","테일","진동(y) 최대","7","g","0~1600","1일 최대 진동(y)         표현범위 →    0 ? 1600 (관측값 × 100)","190","개방"
"79","1","185","167","테일","진동(z) 최대","7","g","0~1600","1일 최대 진동(z)         표현범위 →    0 ? 1600 (관측값 × 100)","200","개방"
"79","1","185","167","테일","흑구 온도","7","℃","500~1800","1일 평균 흑구온도         표현범위 →  500 ? 1800 ((관측값 ＋ 100) × 10)","210","개방"
"79","1","185","167","테일","pm25 보정","4","㎍/㎥","0~1500","초미세먼지 국가 관측망 기준 보정 데이터(UI 표현 대상)","220","개방"
"79","1","185","167","테일","pm10 보정","4","㎍/㎥","0~1500","미세먼지 국가 관측망 기준 보정 데이터(UI 표현 대상)","230","개방"
"2","1","36","8","테일","신호등이 초록불에 건너는 사람 감지회수 Counter","2","회","0 ~ 99","신호등이 초록불에 건너는 사람 감지회수(5분동안총합)","30","개방"
"15","1","69","48","헤더","모델명","10","","문자열","L.SEND 모델명(LS-OLOR153)","10","개방"
"15","1","69","48","테일","고전압 회로 오류 ","1","","정상 : 0 비정상(오류) : 1","","30","개방"
"79","1","185","167","테일","센서시간","12","","%Y%M%D%H%I","201912130901","240","개방"
"79","1","185","167","테일","일산화탄소","7","ppm","0~12500","1일 평균 일산화탄소         표현범위 →    0 ? 12500 (관측값 × 1000)","250","개방"
"79","1","185","167","테일","이산화질소","7","ppm","0~2000","1일 평균 이산화질소         표현범위 →    0 ? 2000 (관측값 × 1000)","260","개방"
"79","1","185","167","테일","이산화황","7","ppm","0~2000","1일 평균 이산화황         표현범위 →    0 ? 2000 (관측값 × 1000)","270","개방"
"79","1","185","167","테일","암모니아","7","ppm","0~100000","1일 평균 암모니아         표현범위 →    0 ? 100000 (관측값x1000)","280","개방"
"79","1","185","167","테일","황화수소","7","ppm","0~100000","1일 평균 황화수소         표현범위 →    0 ? 100000 (관측값x1000)","290","개방"
"79","1","185","167","테일","오존","7","ppm","0~2000","1일 평균 오존         표현범위 →    0 ? 2000 (관측값 × 1000)","300","개방"
"2","1","36","8","테일","신호등이 빨간불에 건너는 사람 감지회수","2","회","0 ~ 99","신호등이 빨간불에 건너는 사람  감지회수(5분동안총합)","40","개방"
"17","1","87","64","테일","램프고장","1","","0(정상)/1(고장)","램프고장 여부","240","개방"
"17","1","87","64","테일","이상점등","1","","0(정상)/1(고장)","이상점등 여부","250","개방"
"15","1","69","48","헤더","모델명","10","","문자열","L.SEND 모델명(LS-OLOR153)","1","개방"
"2","1","36","8","테일","시각장애인 용 보조장치 사용 신호 감지 회수","2","회","0 ~ 99","시각장애인 용 보조장치 사용 신호 감지 회수(5분동안총합)","60","개방"
"13","1","52","34","테일","교차로2진입차량수","4","건수","0000 ~ 9999","교차로 2로 정해진 곳으로 진입 차량 대수","70","개방"
"13","1","52","34","테일","교차로4진입차량수","4","건수","0000 ~ 9999","교차로 4로 정해진 곳으로 진입 차량 대수","110","개방"
"13","1","52","34","테일","교차로4평균진입속도","3","km/h","000 ~ 999","교차로 4로 정해진 곳으로 진입 하는 평균 진입 속도","120","개방"
"13","2","42","23","헤더","ID","11","","","IoT기기별 시리얼(고유ID)","20","개방"
"13","2","42","23","테일","온도","3","℃","-99 ~ +99","온도","30","개방"
"13","2","42","23","테일","습도","2","%","00 ~ 99","습도","40","개방"
"22","2","90","60","테일","소음","5","㏈","","","70","개방"
"22","2","90","60","테일","이산화탄소","5","ppm","","","80","개방"
"22","2","90","60","테일","휘발성유기화합물","5","ppb","","","90","개방"
"22","2","90","60","테일","초미세먼지","5","㎍/㎥","","","100","개방"
"22","2","90","60","테일","학습능률지수","5","%","","","110","개방"
"22","3","65","35","헤더","모델명","15","","","PARKING-SENSOR","10","개방"
"22","3","65","35","헤더","시리얼","15","","","111467200000","20","개방"
"22","3","65","35","테일","데이터요청일시","20","","","YYYYMMDDHH24","30","개방"
"22","3","65","35","테일","총주차면수","5","면","","주차총건수","40","개방"
"22","3","65","35","테일","주차면수","5","면","","주차건수","50","개방"
"22","3","65","35","테일","비주차면수","5","면","","비주차건수","60","개방"
"3","1","23","7","헤더","모델명","6","","","IoT기기 모델명(NTS100)","10","개방"
"3","1","23","7","헤더","고유번호","10","","","IoT기기별 고유ID","20","개방"
"13","1","52","34","테일","교차로2평균진입속도","3","km/h","000 ~ 999","교차로 2로 정해진 곳으로 진입 하는 평균 진입 속도","80","개방"
"13","1","52","34","테일","교차로3진입차량수","4","건수","0000 ~ 9999","교차로 3로 정해진 곳으로 진입 차량 대수","90","개방"
"13","2","42","23","헤더","모델명","8","","","IoT기기 모델명","10","개방"
"17","1","87","64","테일","심야소등시작시간","2","시","XX00~23","심야소등시작시간","80","개방"
"17","1","87","64","테일","심야소등시작분","2","분","00~59","심야소등시작분","90","개방"
"17","1","87","64","테일","심야소등해제시간","2","시","00~23","심야소등해제시간","100","개방"
"17","1","87","64","테일","심야소등해제분","2","분","00~59","심야소등해제분","110","개방"
"17","1","87","64","테일","심야소등적용기간","8","날짜","0101~1231","심야소등적용기간","120","개방"
"24","3","206","192","테일","ID","32","정수","32자리","단말ID(기기의 일련번호)","50","개방"
"24","3","206","192","테일","통신코드","2","정수","00 ~ 99","작업코드(서버와 단말 간 통신코드) ex) 01(단말기-&gt;서버로 현재 상태정보 전송)","60","개방"
"24","3","206","192","테일","보조ID(패킷전송 ID)","6","정수","000000 ~ 999999","보조ID(패킷전송할때 사용하는 ID)","70","개방"
"24","3","206","192","테일","단말 부팅 후 운영시간","8","소수","0000000 ~ 99999999","단말 부팅 후 운영시간 ex) 1.52 : 1시간 52분 운영 중","80","개방"
"24","3","206","192","테일","단말 RF PLL상태","1","정수","1: 정상 0:비정상","단말 RF PLL 상태","90","개방"
"24","3","206","192","테일","단말 FPGA 상태","1","정수","1: 정상 0:비정상","단말 FPGA 상태","100","개방"
"24","3","206","192","테일","위치정보를 받아오는 단말","1","정수","0:Slave 1:Master","Master : NB-IoT를 이용해 위성정보를 받아오는 단말 Slave : Master로 부터 위성정보를 받는 단말","110","개방"
"24","3","206","192","테일","Slave의 시간 동기 상태","2","정수","0:IDLE 1:RUN 2:Done 3:Out","Slave의 시간 동기 상태","120","개방"
"3","1","23","7","테일","IoT기기상태값","1","","OFF = 0 ON = 1 UNKNOWN = 2","IoT기기 상태값","30","개방"
"3","1","23","7","테일","악취저감장치상태","1","","OFF = 0 ON = 1 UNKNOWN = 2","악취저감장치 상태(1시간 마다 체크한 ON/OFF 상태값)","40","개방"
"3","1","23","7","테일","악취저감장치 연속OFF시간","5","","계속 켜짐 = 0 1시간 연속 OFF = 1 48시간 연속 OFF = 48","저감장치가 &quot;연속적으로&quot; 꺼진 시간(예를들어 계속 켜지면 0 1시간 연속 OFF면 1 48시간 연속 OFF면 48 등이 됩니다.)","50","개방"
"13","1","52","34","헤더","모델명","7","","ITB-X2P","ITB-X2P","10","개방"
"13","1","52","34","헤더","기기별 시리얼(고유ID)","11","","xxxxxxxxxxxx","Unique ID","20","개방"
"13","1","52","34","테일","인터페이스코드","3","","X03","","30","개방"
"13","1","52","34","테일","시퀀스번호","3","","000 ~ 999","","40","개방"
"13","1","52","34","테일","교차로1진입차량수","4","건수","0000 ~ 9999","교차로 1로 정해진 곳으로 진입 차량 대수","50","개방"
"13","1","52","34","테일","교차로1평균진입속도","3","km/h","000 ~ 999","교차로 1로 정해진 곳으로 진입 하는 평균 진입 속도","60","개방"
"17","1","87","64","헤더","시리얼","15","","","시리얼","20","개방"
"17","1","87","64","테일","접속간격","3","분","060~240","접속하는 간격","30","개방"
"17","1","87","64","테일","수동유지","2","분","1~30","수동유지되는 시간","40","개방"
"17","1","87","64","테일","지역ID","1","","0~9A~G","전국 지역구분값","50","개방"
"17","1","87","64","테일"," 점등편차","3","분","-79~+79","점등시간조절값","60","개방"
"24","3","206","192","테일","FPGA 송출 파워","2","정수","0 ~ 0xFF","FPGA 송출 파워 값이 낮을 수록 높은 신호 출력","270","개방"
"24","3","206","192","테일","단말이 송출하고 있는 WGS84 좌표","50","배열","36.000000128.00000080","단말이 송출하고 있는 WGS84 좌표 고도는 측정치 ex) GoogleMap 기준 서울시 좌표는 : 37.566656 126.978410","280","개방"
"25","1","33","33","테일","날짜","19","","","날짜(YYYY-MM-DDT00:00:00)","30","개방"
"25","1","33","33","테일","탐지된 대상의 체류 총합 시간","8","초","0~99999999","탐지된 대상의 체류 총합 시간을 의미","60","개방"
"28","1","25","17","헤더","기기ID","8","정수","000000 ~ 999999","화재감지기 기기ID","10","개방"
"28","1","25","17","테일","연기감지 여부 ","1","정수","정상 - 0 / 연기감지 - 1","연기 감지 여부","20","개방"
"28","1","25","17","테일","배터리잔량","1","정수","현재수집되지 않음(미적용)","현재수집되지 않음(미적용)","40","개방"
"28","1","25","17","테일","날짜","14","정수","yyyyMMddHHmmss","패킷 전송시간 ex) 20190830092715","50","개방"
"29","1","24","11","헤더","모델명","3","","","모델명","10","개방"
"29","1","24","11","헤더","시리얼","10","","","시리얼","20","개방"
"29","1","24","11","테일","가동유무 (0-비가동 1-가동)","1","","0 ~ 1","0-비가동 1-가동","30","개방"
"29","1","24","11","테일","사용전력","4","W","0 ~ 3520","가전기기 사용전력","40","개방"
"24","1","19","5","헤더","프로토콜 관리","4","","","프로토콜 관리","30","개방"
"24","1","19","5","테일","예비","1","","","예비","80","개방"
"24","3","206","192","헤더","IOT 장비 분류","2","정수","00 ~ 99","IOT 장비 분류","10","개방"
"24","3","206","192","헤더","제조사","2","정수","00 ~ 99","제조사","20","개방"
"34","1","87","64","테일","심야소등시작시간","2","시","XX00~23","심야소등시작시간","80","개방"
"34","1","87","64","테일","심야소등시작분","2","분","00~59","심야소등시작분","90","개방"
"34","1","87","64","테일","심야소등해제시간","2","시","00~23","심야소등해제시간","100","개방"
"24","2","106","92","테일","이산화탄소","6","ppm","정수 4자리 소수 2자리","이산화탄소","120","개방"
"24","2","106","92","테일","GPS 측위 성공 여부","1","정수","0 : 실패 1: 성공","GPS 측위 성공 여부","130","개방"
"24","2","106","92","테일","GPSGPS 측정값","27","정수","경도 정수 3자리 경도 소수 6자리 위도 정수 3자리 위도 소수 6자리 고도 정수 3자리 고도 소수 6자리","GPS 측정 값","140","개방"
"24","2","106","92","테일","조명 상태","1","정수","0 : 조명 꺼짐 1 : 조명 켜짐","조명 상태","150","개방"
"24","2","106","92","테일","침묵모드","1","정수","0 : 해제 1: 설정","침묵모드","200","개방"
"25","1","33","33","테일","센서 시리얼번호","1","","1~8","센서 시리얼 번호 총8개의 센서가 있고 각 센서별로 1~8까지의 번호를 부여하여 식별","40","개방"
"25","1","33","33","테일","방문인원","5","명","0~99999","방문인원","50","개방"
"28","1","25","17","테일","현재 온도 ","1","정수","70℃ 미만 - 0  / 70℃ 이상 -1 ","70도 미만/이상에 따라 0또는 1표기 ","30","개방"
"30","1","202","184","테일","오존","7","ppm","0~2000 ","2분 평균 오존","290","개방"
"31","1","56","38","헤더","모델명","7","","dot","모델명","10","개방"
"31","1","56","38","테일","풍향","1","","0~1","센서 상태 코드 : 1정상. 0비정상","70","개방"
"31","1","56","38","테일","풍속","1","m/s","0~1","센서 상태 코드 : 1정상. 0비정상","80","개방"
"31","1","56","38","테일","돌풍 풍향","1","","0~1","센서 상태 코드 : 1정상. 0비정상","90","개방"
"37","1","55","23","테일","위도","9","","37.XXXXXX","위도","30","내부"
"37","1","55","23","테일","경도","10","","126.XXXXXX","경도","40","내부"
"37","1","55","23","테일","등 밝기(000:소등 001~100: 점등(디밍))","3","%","000~100","000:소등 001~100: 점등(디밍)","50","개방"
"37","1","55","23","테일","불량 여부","1","","0 1","불량 여부","60","개방"
"38","1","55","23","헤더","모델명","16","","","모델명","10","개방"
"38","1","55","23","헤더","시리얼","16","","","시리얼","20","개방"
"38","1","55","23","테일","위도","9","","37.XXXXXX","위도","30","개방"
"31","1","56","38","테일","센서 날짜","12","","%Y%M%D%H%I","201912130109","210","개방"
"31","1","56","38","테일","일산화탄소","1","","0~1","센서 상태 코드 : 1정상. 0비정상","220","개방"
"31","1","56","38","테일","이산화질소","1","","0~1","센서 상태 코드 : 1정상. 0비정상","230","개방"
"31","1","56","38","테일","이산화황","1","","0~1","센서 상태 코드 : 1정상. 0비정상","240","개방"
"31","1","56","38","테일","암모니아","1","","0~1","센서 상태 코드 : 1정상. 0비정상","250","개방"
"31","1","56","38","테일","황화수소","1","","0~1","센서 상태 코드 : 1정상. 0비정상","260","개방"
"31","1","56","38","테일","오존","1","","0~1","센서 상태 코드 : 1정상. 0비정상","270","개방"
"31","1","56","38","테일","위도","1","","0~1","센서 상태 코드 : 1정상. 0비정상","280","개방"
"31","1","56","38","테일","경도","1","","0~1","센서 상태 코드 : 1정상. 0비정상","290","개방"
"36","1","87","64","헤더","모델명","8","","","모델명","10","개방"
"36","1","87","64","테일","수동/강제상태","1","","0(수동)/1(강제)/2(일반)","수동/강제상태","300","개방"
"42","1","56","38","헤더","시리얼","12","","","-00001 ~ -00003","20","개방"
"42","1","56","38","테일","온도","6","C","-30 ~ 50","온도","30","개방"
"42","1","56","38","테일","습도","5","%","0 ~ 99","습도","40","개방"
"41","1","121","99","헤더","모델명","8","","","모델명","10","개방"
"47","1","185","167","테일","구분","1","","1~3","1:평균/2:최대값/3:최소값","30","개방"
"48","1","185","167","테일","진동(y) 최대","7","g","0.00~16.00","60분 최대 진동(y)","190","개방"
"48","1","185","167","테일","진동(z) 최대","7","g","0.00~16.00","60분 최대 진동(z)","200","개방"
"74","1","56","38","테일","미세먼지10(미세먼지)","1","","0~1","센서 상태 코드 : 1정상. 0비정상","40","개방"
"74","1","56","38","테일","기온","1","","0~1","센서 상태 코드 : 1정상. 0비정상","50","개방"
"49","1","185","167","헤더","시리얼","11","","","시리얼","20","개방"
"49","1","185","167","테일","미세먼지","4","㎍/㎥","0~1500","1일 평균 미세먼지 관측값","50","개방"
"77","1","185","167","테일","센서시간","12","","%Y%M%D%H%I","201912130901","240","개방"
"77","1","185","167","테일","자외선","7","UV","0~160","2분 평균 자외선         표현범위 →    0 ? 160 (관측값 × 10)","130","개방"
"77","1","185","167","테일","pm10 보정","4","㎍/㎥","0~1500","미세먼지 국가 관측망 기준 보정 데이터(UI 표현 대상)","230","개방"
"78","1","185","167","테일","풍향","4","m/s","1~3599","60분 평균 풍향         표현범위 →    1 ? 3599 (관측값 × 10)","80","개방"
"78","1","185","167","테일","풍속","7","m/s","1~1000","60분 평균 풍속         표현범위 →    1 ? 1000 (관측값 × 10)","90","개방"
"80","1","185","167","테일","풍속","7","m/s","1~1000","30분 평균 풍속         표현범위 →    1 ? 1000 (관측값 × 10)","90","개방"
"80","1","185","167","테일","돌풍 풍향","4","m/s","0~3599","30분 돌풍 풍향         표현범위 →    0 ? 3599 (관측값 × 10)","100","개방"
"80","1","185","167","테일","돌풍 풍속","7","m/s","0~1000","30분 돌풍 풍속         표현범위 →    0 ? 1000 (관측값 × 10)","110","개방"
"80","1","185","167","테일","조도","6","lux","0~120000","30분 평균 조도         표현범위 →    0 ? 120000 (관측값)","120","개방"
"84","1","185","167","테일","풍속","7","m/s","1~1000","30분 평균 풍속 표현범위 →    1 ? 1000 (관측값 × 10)","90","개방"
"84","1","185","167","테일","돌풍 풍향","4","m/s","0~3599","30분 돌풍 풍향 표현범위 →    0 ? 3599 (관측값 × 10)","100","개방"
"84","1","185","167","테일","돌풍 풍속","7","m/s","0~1000","30분 돌풍 풍속 표현범위 →    0 ? 1000 (관측값 × 10)","110","개방"
"84","1","185","167","테일","조도","6","lux","0~120000","30분 평균 조도 표현범위 →    0 ? 120000 (관측값)","120","개방"
"84","1","185","167","테일","자외선","7","UVI","0~160","30분 평균 자외선 표현범위 →    0 ? 160 (관측값 × 10)","130","개방"
"84","1","185","167","테일","센서시간","12","","%Y%M%D%H%I","201912130901","240","개방"
"84","1","185","167","테일","진동(x) 최대","7","g","0~1600","30분 최대 진동(x) 표현범위 →    0 ? 1600 (관측값 × 100)","180","개방"
"84","1","185","167","테일","진동(y) 최대","7","g","0~1600","30분 최대 진동(y) 표현범위 →    0 ? 1600 (관측값 × 100)","190","개방"
"84","1","185","167","테일","진동(z) 최대","7","g","0~1600","30분 최대 진동(z) 표현범위 →    0 ? 1600 (관측값 × 100)","200","개방"
"84","1","185","167","테일","흑구 온도","7","℃","500~1800","30분 평균 흑구온도 표현범위 →  500 ? 1800 ((관측값 ＋ 100) × 10)","210","개방"
"84","1","185","167","테일","pm25 보정","4","㎍/㎥","0~1500","초미세먼지 국가 관측망 기준 보정 데이터(UI 표현 대상)","220","개방"
"84","1","185","167","테일","pm10 보정","4","㎍/㎥","0~1500","미세먼지 국가 관측망 기준 보정 데이터(UI 표현 대상)","230","개방"
"86","1","23","8","헤더","시리얼","9","","","시리얼","20","개방"
"86","1","23","8","테일","IG_CNT","3","대","0 ~ 99","불법주정차 감지수","30","개방"
"86","1","23","8","테일","5M_IG_CNT","3","대","0 ~ 99","5분이상 주정차 차량 감지수","40","개방"
"97","1","90","60","테일","휘발성유기화합물","5","ppb","","","90","개방"
"97","1","90","60","테일","초미세먼지","5","㎍/㎥","","","100","개방"
"97","1","90","60","테일","학습능률지수","5","%","","","110","개방"
"99","1","60","30","헤더","모델명","15","","","WIFI-SENSOR","10","개방"
"99","1","60","30","헤더","시리얼","15","","","111467101302","20","개방"
"99","1","60","30","테일","데이터요청일시","20","","","YYYYMMDDHH24","30","개방"
"99","1","60","30","테일","고유장치수","10","개","","해당 센싱 지역에서 감지 된 고유 장치의 수","40","개방"
"1","1","22","7","헤더","모델명","8","TEET MODEL","","모델명","10","개방"
"1","1","22","7","헤더","시리얼넘버","7","PU1","","시리얼넘버","20","개방"
"1","1","22","7","테일","정보1","2","PU2","","값1","30","개방"
"1","1","22","7","테일","정보2","2","PU3","","값2","40","개방"
"1","1","22","7","테일","정보3","2","PU4","","값3","50","개방"
"48","1","185","167","헤더","모델명","7","","SDOT001","모델명","10","개방"
"49","1","185","167","테일","진동(z)","7","g","0.00~16.00","1일 평균 진동(z)","170","개방"
"49","1","185","167","테일","진동(x) 최대","7","g","0.00~16.00","1일 최대 진동(x)","180","개방"
"49","1","185","167","테일","진동(y) 최대","7","g","0.00~16.00","1일 최대 진동(y)","190","개방"
"49","1","185","167","테일","진동(z) 최대","7","g","0.00~16.00","1일 최대 진동(z)","200","개방"
"49","1","185","167","테일","흑구 온도","7","℃","-40.0~120.0","1일 평균 흑구온도","210","개방"
"49","1","185","167","테일","초미세먼지 보정","4","㎍/㎥","0~1500","초미세먼지 국가 관측망 기준 보정 데이터(UI 표현 대상)","220","개방"
"49","1","185","167","테일","미세먼지 보정","4","㎍/㎥","0~1500","미세먼지 국가 관측망 기준 보정 데이터(UI 표현 대상)","230","개방"
"49","1","185","167","테일","전송시간","12","","%Y%M%D%H%I","201912130901","240","개방"
"52","1","27","16","헤더","MODEL_SEQ","8","","","Device PART/Serial(fixed 8)","10","개방"
"52","1","27","16","헤더","FW_VER","3","","","펌웨어버전","20","개방"
"52","1","27","16","헤더","ST_SNIC","1","","","차량진입여부(Y/N)","30","개방"
"52","1","27","16","헤더","DIST_OJ","3","CM","","차량감지거리(fixed 2)","40","개방"
"52","1","27","16","헤더","EVNT_DT","12","","","YYYYMMDDhhmmss","50","개방"
