"송신 서버 번호","데이터 번호","패킷 사이즈","데이터 사이즈","패킷 구분 명","패킷 명","패킷 길이","패킷 단위","패킷 범주","설명","정렬 순서","공개 구분 명"
"30","1","202","184","테일","흑구 온도","7","℃","-40.0~120.0","2분 평균 흑구온도","200","개방"
"34","1","87","64","헤더","모델명","8","","","모델명","10","개방"
"36","1","87","64","헤더","시리얼","15","","","시리얼","20","개방"
"39","1","19","8","테일","허용여부(0 - 불용 1 - 허용)","2","A","0 ~ 1","허용여부","40","개방"
"39","1","19","8","테일","차량번호","4","N","4","차량번호 뒷자리","50","내부"
"40","1","69","55","헤더","모델명","2","","","모델명","10","개방"
"40","1","69","55","헤더","패킷길이","2","","","패킷 길이","20","개방"
"40","1","69","55","헤더","명령어","2","","","명령어","40","개방"
"40","1","69","55","테일","사용자관리그룹","1","","012","0 : 일반 1 : 위험군 2 : 고위험군","50","개방"
"40","1","69","55","테일","알림단계등급","1","","0123","0 : 정상1 : 관심2 : 위험3 : 심각","60","개방"
"40","1","69","55","테일","기기상태정보","1","","01","0 : 정상1 : 장비점검","70","개방"
"40","1","69","55","테일","활동수치","3","%","0~100","","80","개방"
"19","1","63","43","테일","온도","6","℃","-999.0 ~ +999.0","온도","30","개방"
"22","1","60","30","헤더","모델명","15","","","WIFI-SENSOR","10","개방"
"22","2","90","60","테일","습도","5","%","","","50","개방"
"24","3","206","192","테일","단말 소프트웨어 버전 정보","10","정수","0000000000 ~ 9999999999","단말 소프트웨어 버전 정보","230","개방"
"31","1","56","38","헤더","시리얼","11","","","시리얼","20","개방"
"31","1","56","38","테일","자외선","1","UVI","0~1","센서 상태 코드 : 1정상. 0비정상","120","개방"
"34","1","87","64","테일","디밍분 1","2","시","00~59","디밍분 1","140","개방"
"34","1","87","64","테일","디밍분 3","2","시","00~59","디밍분 3","200","개방"
"36","1","87","64","테일","디밍시 1","2","시","XX00~23","디밍시 1","130","개방"
"39","1","19","8","헤더","모델명","5","","","모델명","10","개방"
"40","1","69","55","테일","최근활동","1","","01","0 : 1시간 이내에 최근 활동 없음  or 1시간 이내에 패킷 미수신 1 : 1시간 이내에 최근 활동 있음","90","개방"
"40","1","69","55","테일","전력량1","5","Wh","Null / 0~3520","10분 동안의 누적 전력량(합)","100","개방"
"40","1","69","55","테일","조도1","3","%","Null / 0~100","10분 동안의 가장 밝은 조도 값 100% : 밝음 0% : 어두움","110","개방"
"40","1","69","55","테일","조도2","3","%","Null / 0~100","10분 동안의 가장 밝은 조도 값 100% : 밝음 0% : 어두움","130","개방"
"40","1","69","55","테일","전력량3","5","Wh","Null / 0~3520","10분 동안의 누적 전력량(합)","140","개방"
"40","1","69","55","테일","조도3","3","%","Null / 0~100","10분 동안의 가장 밝은 조도 값 100% : 밝음 0% : 어두움","150","개방"
"40","1","69","55","테일","조도4","3","%","Null / 0~100","10분 동안의 가장 밝은 조도 값 100% : 밝음 0% : 어두움","170","개방"
"40","1","69","55","테일","전력량5","5","Wh","Null / 0~3520","10분 동안의 누적 전력량(합)","180","개방"
"40","1","69","55","테일","조도5","3","%","Null / 0~100","10분 동안의 가장 밝은 조도 값 100% : 밝음 0% : 어두움","190","개방"
